지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
257,양산시,2022-01-01,-0.2,,1.3,33.1
257,양산시,2022-01-02,1.3,,1.7,54.5
257,양산시,2022-01-03,1.4,,1.3,49
257,양산시,2022-01-04,1.9,,1.3,50
257,양산시,2022-01-05,4.1,0.2,2.2,56.1
257,양산시,2022-01-06,4.6,0,1.6,51.9
257,양산시,2022-01-07,1.8,,1,52
257,양산시,2022-01-08,1.8,,1.6,51.9
257,양산시,2022-01-09,3.1,,1.2,68
257,양산시,2022-01-10,4.7,,1.1,71
257,양산시,2022-01-11,2,,3.5,41.1
257,양산시,2022-01-12,-0.5,,2.5,32.9
257,양산시,2022-01-13,-0.5,,3.6,36.3
257,양산시,2022-01-14,-0.7,,2.3,34.4
257,양산시,2022-01-15,1.5,,1.7,43.3
257,양산시,2022-01-16,3,,2.3,49.5
257,양산시,2022-01-17,1.2,,2.4,40.9
257,양산시,2022-01-18,-1.1,,2,30.8
257,양산시,2022-01-19,0.5,,1.3,47.1
257,양산시,2022-01-20,1.2,,2.3,49.3
257,양산시,2022-01-21,1.3,,1,65.1
257,양산시,2022-01-22,4.1,,1,72.5
257,양산시,2022-01-23,7.9,,1.7,69.8
257,양산시,2022-01-24,5.9,0,3.3,65.1
257,양산시,2022-01-25,6,,1.1,64.9
257,양산시,2022-01-26,4.9,,1.5,56.3
257,양산시,2022-01-27,4.2,,1,50.1
257,양산시,2022-01-28,4.7,,2.1,26.1
257,양산시,2022-01-29,3.8,,2.5,23.8
257,양산시,2022-01-30,2.6,,1.5,29.3
257,양산시,2022-01-31,1.9,,1.6,35.3
257,양산시,2022-02-01,2.9,,3,46.8
257,양산시,2022-02-02,1.9,,2,45.4
257,양산시,2022-02-03,2.3,,2.1,37.1
257,양산시,2022-02-04,1.8,,3.1,37.5
257,양산시,2022-02-05,-0.7,,3.3,39.6
257,양산시,2022-02-06,0.5,,2.7,41
257,양산시,2022-02-07,2.2,,1.9,32.9
257,양산시,2022-02-08,3.1,,1.5,35.1
257,양산시,2022-02-09,4.5,,1.3,52
257,양산시,2022-02-10,5.8,,1.3,50.9
257,양산시,2022-02-11,4.6,,1,49.6
257,양산시,2022-02-12,6.8,,1.6,56.8
257,양산시,2022-02-13,8.8,,2.9,64
257,양산시,2022-02-14,9,,2.4,66.3
257,양산시,2022-02-15,3.1,,3.5,42.4
257,양산시,2022-02-16,-1.3,,3.4,37.5
257,양산시,2022-02-17,-2.3,,2.4,32
257,양산시,2022-02-18,2.2,,1.6,50.8
257,양산시,2022-02-19,5.3,,1.9,51.3
257,양산시,2022-02-20,0,,3.6,30.4
257,양산시,2022-02-21,1.9,,2.6,37.3
257,양산시,2022-02-22,2,,2.8,31.5
257,양산시,2022-02-23,0.4,,2.6,30
257,양산시,2022-02-24,2.2,,2.4,27.3
257,양산시,2022-02-25,5.1,,2.3,40.5
257,양산시,2022-02-26,6.8,,3.4,55.1
257,양산시,2022-02-27,7,,2.8,34.4
257,양산시,2022-02-28,6.8,,1.7,47.5
257,양산시,2022-03-01,10.3,1.8,2.1,68.8
257,양산시,2022-03-02,7.5,,2.2,42.5
257,양산시,2022-03-03,6.7,,2.2,50.3
257,양산시,2022-03-04,8.5,,2.9,65.6
257,양산시,2022-03-05,9.1,,4,32.1
257,양산시,2022-03-06,5.2,,2.6,33
257,양산시,2022-03-07,5.9,,1.8,56.9
257,양산시,2022-03-08,7,,1.4,55.5
257,양산시,2022-03-09,8.4,,1.6,62.9
257,양산시,2022-03-10,10,,2.2,71.4
257,양산시,2022-03-11,12.1,,2,78.3
257,양산시,2022-03-12,15.4,,2.4,80.5
257,양산시,2022-03-13,15.3,17,3.4,95.3
257,양산시,2022-03-14,11.7,0,2.8,88.5
257,양산시,2022-03-15,11.9,,1.8,62
257,양산시,2022-03-16,13,,1.8,59.3
257,양산시,2022-03-17,10.8,7.1,4.1,74.5
